build,gtf,n_reps,depth,method,sensitivity,precision,f1,spearmans,alu_sensitivity,alu_precision,erv_sensitivity,erv_precision,hat_sensitivity,hat_precision,line_sensitivity,line_precision,mir_sensitivity,mir_precision,other_sensitivity,other_precision,mins,mem,n_cpu,cpu
chm13,ervmap,1,2,ervmap,0.983023110834038,0.551005990794296,0.706181678801074,0.946661155864369,0,0,0.9801458415582089,0.5506092907402903,0,0,1.0,0.5841483861953333,0,0,0.9991590749824807,0.5326111318640269,1.0,7.91,36.0,4.5
chm13,ervmap,1,2,explorate,0.52973062805743,0.619633197163501,0.571165849308961,0.605391240925373,0,0,0.5316697796783921,0.9967874158757013,0,0,0.4990731328110985,1.0,0,0,0.5013314646110721,0.01736399337867292,28.5,46.28,36.0,144.0
chm13,ervmap,1,2,lions,0.265721315021088,0.743693486180751,0.391544112262432,0.61526701356123,0,0,0.2663549231478686,0.9999875446058802,0,0,0.227231955988758,1.0,0,0,0.26615276804484933,0.03468049747064302,20.0,11.754999999999999,36.0,55.5
chm13,ervmap,1,2,squire,0.562436783949007,0.539077879862966,0.550509655493667,0.610609298720243,0,0,0.5622182116162336,0.9938480305193986,0,0,0.5253244035161155,1.0,0,0,0.5487035739313244,0.012939924376636082,7.5,44.620000000000005,36.0,13.0
chm13,ervmap,1,2,te-saem,0.538386058435486,0.577095184438281,0.557068984667789,0.607176959255342,0,0,0.5393450400268062,0.9976496434576629,0,0,0.5097769538958321,1.0,0,0,0.5604765241765942,0.01597816836410566,5.0,60.55,36.0,5.5
chm13,ervmap,1,2,telescope,0.710065744693032,0.972292633000152,0.820742716492372,0.590647401116208,0,0,0.7265105847927995,0.9966299166012447,0,0,0.2815882317765951,1.0,0,0,0.7467414155571128,0.3243638134664556,10.5,12.18,72.0,88.5
chm13,ervmap,1,2,telocal,0.271359868701455,0.543470817467636,0.3619799111014,0.173583342279294,0,0,0.2686805585506083,0.9992596842553348,0,0,0.2471446510793518,1.0,0,0,0.3163279607568325,0.01562618996517513,12.0,64.165,72.0,12.0
chm13,ervmap,1,2,tetools,0.521613528075878,0.630439170097683,0.570886384404508,0.603004419130142,0,0,0.524273197466683,0.9986602628918099,0,0,0.4463911977515996,1.0,0,0,0.4972669936930624,0.018245491337505592,1.0,10.015,36.0,3.0
chm13,ervmap,1,2,texp,0.000674304543922035,0.00083434346614612,0.000745835458847121,-0.00366326028962163,0,0,0.0004860279408008015,1.0,0,0,0.0,0,0,0,0.015416958654519973,0.00021718570760090745,2.5,7.48,36.0,17.5
chm13,ervmap,1,5,ervmap,0.983869935759231,0.550714212915416,0.706160242500538,0.947303606095038,0,0,0.9812486731923973,0.5501282335409993,0,0,1.0,0.5809755890228525,0,0,0.9994181125687686,0.5324371547739827,2.0,8.665,36.0,11.0
chm13,ervmap,1,5,explorate,0.530216653832943,0.620344962175723,0.571750744141734,0.589050123964976,0,0,0.5321119050328516,0.9970907322426177,0,0,0.49608603409174046,1.0,0,0,0.5047079983072366,0.018558249094067236,29.0,45.825,36.0,149.5
chm13,ervmap,1,5,lions,0.242565963692713,0.702041508241487,0.360554791399626,0.580675125471244,0,0,0.24309511022734911,1.0,0,0,0.23052161826029702,1.0,0,0,0.23571730850613626,0.02891572519678397,33.0,12.145,36.0,119.5
chm13,ervmap,1,5,squire,0.563980221953911,0.540197660322316,0.551832818349005,0.59378304904545,0,0,0.5644177984876223,0.9940005930259678,0,0,0.5228375643182871,1.0,0,0,0.5496191282268303,0.013787594084737306,9.5,50.33,36.0,17.5
chm13,ervmap,1,5,te-saem,0.539284085153955,0.578105282841939,0.558020306098401,0.590486891861188,0,0,0.5411092411026528,0.9983069076693768,0,0,0.5057916941010071,1.0,0,0,0.5597228099873043,0.01695762756684248,16.5,42.13,36.0,17.5
chm13,ervmap,1,5,telescope,0.711970823784969,0.972549732385002,0.822105769623074,0.59181616454379,0,0,0.7268529887193903,0.9965647277375653,0,0,0.2836832735874363,1.0,0,0,0.7640181972069403,0.33925257792497593,25.5,14.790000000000001,72.0,231.5
chm13,ervmap,1,5,telocal,0.272738529786918,0.54198049801849,0.362871024630225,0.163308456984934,0,0,0.2716603212820938,0.9993855057703701,0,0,0.247567488477577,1.0,0,0,0.28650021159542954,0.014762078683841847,13.0,79.52,72.0,15.0
chm13,ervmap,1,5,tetools,0.52204625679182,0.631048729217098,0.571395472078608,0.585458084948202,0,0,0.5248268578467484,0.9988676865087507,0,0,0.44314385348842883,1.0,0,0,0.5017985611510791,0.01951711296511568,1.0,11.165,36.0,5.0
chm13,ervmap,1,5,texp,0.000716863448654337,0.000885746908440436,0.000792406689010283,-0.0113341463155649,0,0,0.0005150841803273779,1.0,0,0,0.0,0,0,0,0.016874735505713077,0.00025256923880856994,5.5,6.2,36.0,40.5
chm13,ervmap,1,10,ervmap,0.983544570930103,0.551026495294071,0.706333033136902,0.944178971122109,0,0,0.9809517311388656,0.5506479229640624,0,0,1.0,0.5816646461268342,0,0,0.9995194361384024,0.5322131240759695,3.0,10.05,36.0,20.5
chm13,ervmap,1,10,explorate,0.530532313620102,0.620507103425622,0.572003120523936,0.588383333481835,0,0,0.5329438097536217,0.9969945270131438,0,0,0.4922140769488764,1.0,0,0,0.5206909440410081,0.018969926106481756,29.5,47.625,36.0,150.0
chm13,ervmap,1,10,lions,0.225150734554752,0.647435507842931,0.334111571062862,0.576161655181412,0,0,0.22495069936179596,0.9999881635443083,0,0,0.2091059364668679,1.0,0,0,0.21916381888082015,0.022424121569388028,59.5,12.125,36.0,226.5
chm13,ervmap,1,10,squire,0.565275875938448,0.541645487761751,0.553208452891615,0.591078236779744,0,0,0.5664575931303617,0.9941557565360021,0,0,0.5183508217143404,1.0,0,0,0.5642620674925246,0.014066977047565484,13.5,50.209999999999994,36.0,24.5
chm13,ervmap,1,10,te-saem,0.539860755472494,0.578885911751041,0.558692677808634,0.590763039143055,0,0,0.5412469525132925,0.9982872717897089,0,0,0.5024795170332039,1.0,0,0,0.5712836394703118,0.01719387423032142,34.0,61.925,36.0,37.5
chm13,ervmap,1,10,telescope,0.708933880465288,0.971823062537863,0.819819067496586,0.576142610321199,0,0,0.7248114094574017,0.9964953351212813,0,0,0.26617076326002587,1.0,0,0,0.7668197351559163,0.3383556963963858,48.5,21.91,72.0,450.5
chm13,ervmap,1,10,telocal,0.275108975927304,0.542151415039269,0.365001711174554,0.158476445510796,0,0,0.2759188224428154,0.9992105199720367,0,0,0.2522279718269369,1.0,0,0,0.2967748825288338,0.015093376348641243,14.0,72.005,72.0,19.0
chm13,ervmap,1,10,tetools,0.522457911530633,0.631370022952458,0.5717737519374,0.584025092603389,0,0,0.5257719606260557,0.9988643628069966,0,0,0.43980882564323703,1.0,0,0,0.5162590773173857,0.01991056360579205,2.0,10.475,36.0,8.5
chm13,ervmap,1,10,texp,0.000692988265313311,0.00085715428737563,0.000766378371697406,-0.0115613982432977,0,0,0.0005351927509340079,1.0,0,0,0.0,0,0,0,0.01465719777872704,0.00021715999034844488,11.0,6.76,36.0,84.0
chm13,ervmap,1,30,ervmap,0.983421024300133,0.551053347477953,0.706323230140147,0.941574514678075,0,0,0.9809229011243272,0.5505813569156868,0,0,1.0,0.5833505715002487,0,0,0.9995195432834977,0.5330888079387012,9.0,14.440000000000001,36.0,59.0
